Adrian Griffin,77,1,477,16.8,1.6,2.2,3.8,1.5,1.9,3.4,0.1,0.3,0.4,0.6,0.2,0.8,1.1,2.1,3.2,1.4,0.9,0.1,0.7,1.8,4,6.5
Al Harrington,81,3,981,28.6,5.1,6.4,11.5,4.1,4.6,8.7,1,1.8,2.8,2.2,0.9,3.1,1.5,4.1,5.6,1.7,0.9,0.3,1.9,3.1,13.5,12.8
Al Horford,82,5,646,33.3,6.1,5.4,11.5,5.8,4.8,10.6,0.3,0.6,0.9,1.9,0.6,2.5,2.3,6.4,8.7,3,0.8,1.2,1.6,2.4,14.3,20.4
Al Jefferson,82,5,879,29.4,6.9,6.9,13.8,6.9,6.8,13.7,0,0.1,0.1,2.3,0.9,3.2,2.3,6.3,8.6,1.5,0.7,1.2,1.4,2.6,16,18.8
Al Skinner,75,1,2,5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,1,0.5
Al Thornton,80,3,296,28,4.6,5.6,10.2,4.4,4.9,9.3,0.3,0.6,0.9,2.4,0.8,3.2,1.3,2.8,4.2,1.2,0.6,0.5,1.4,2.6,11.9,10.7
Al Wood,78,1,417,23.8,4.7,5.5,10.2,4.7,5,9.7,0.1,0.4,0.5,2.2,0.5,2.7,1.1,1.9,3,1.8,0.7,0.4,1.4,2.3,11.8,10.4
Alaa Abdelnaby,82,3,256,12.5,2.4,2.4,4.8,2.4,2.4,4.8,0,0,0,0.9,0.4,1.3,1.1,2.2,3.3,0.3,0.3,0.3,1,1.9,5.7,6.1
Alan Anderson,78,1,330,20.6,2.6,3.7,6.3,1.6,1.8,3.4,1,1.9,2.9,1.2,0.3,1.5,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3,6.4
Alan Hardy,79,3,60,7,1.4,1.9,3.3,1.4,1.8,3.2,0,0.1,0.1,0.4,0.3,0.7,0.4,0.5,0.9,0.4,0.2,0.2,0.5,0.8,3.2,2.2
Alan Henderson,81,3,652,21.1,3,3.5,6.5,3,3.4,6.4,0,0,0,1.7,1,2.7,2.2,2.8,5,0.6,0.6,0.5,1.1,2.2,7.8,9
Alan Ogg,86,5,80,8.2,0.9,1,1.9,0.9,1,1.9,0,0,0,0.3,0.3,0.6,0.6,1.1,1.7,0.2,0.2,0.7,0.4,1.7,2.2,3.3
Alan Williams,80,3,57,13.6,2.6,2.5,5.1,2.6,2.5,5.1,0,0,0,1.4,0.8,2.2,1.9,3.9,5.8,0.5,0.5,0.6,0.8,2.5,6.6,9.9
Alando Tucker,78,3,51,8.4,1.5,2.1,3.6,1.3,1.6,2.9,0.2,0.5,0.7,0.9,0.3,1.2,0.6,0.4,1,0.3,0.1,0,0.4,0.4,4.1,2.7
Albert King,78,3,534,24,5.1,5.9,11,5,5.6,10.6,0.1,0.3,0.4,1.9,0.5,2.4,1.4,2.8,4.2,2.2,0.8,0.4,2.2,3,12.1,11.1
Alec Burks,78,1,301,22,3.5,4.7,8.2,2.9,3.6,6.5,0.6,1.1,1.7,2.5,0.8,3.3,0.7,2.2,2.9,1.8,0.6,0.2,1.4,1.9,10.1,8.7
Alec Kessler,83,3,210,14,2,2.8,4.8,2,2.6,4.6,0,0.1,0.1,1.1,0.3,1.4,1.2,2.3,3.6,0.4,0.2,0.3,0.9,2.1,5.2,5.8
Aleksandar Djordjevic,74,1,8,7.6,1,1,2,0.4,0.7,1.1,0.6,0.3,0.9,0.5,0.1,0.6,0.1,0.5,0.6,0.6,0,0,0.6,0.4,3.1,2.6
Aleksandar Radojevic,87,5,15,10.1,0.5,1.2,1.7,0.5,1.2,1.7,0,0,0,0.7,0.4,1.1,0.7,1.7,2.4,0.5,0.1,0.2,1.3,2.5,1.7,2
Alex Abrines,78,1,68,15.5,2,3,5,0.6,0.8,1.4,1.4,2.2,3.6,0.6,0.1,0.7,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,4.9
Alex Acker,77,1,30,7.8,1.1,2,3.1,0.9,1.3,2.2,0.3,0.5,0.8,0.2,0.1,0.3,0.3,0.7,1,0.5,0.2,0.1,0.4,0.4,2.7,2.2
Alex Blackwell,78,3,27,4,0.5,1.1,1.6,0.5,0.9,1.4,0,0.1,0.1,0.2,0.1,0.3,0.4,0.5,0.9,0.3,0.1,0.1,0.2,0.5,1.3,1.4
Alex Bradley,78,3,39,8.5,1.4,1.2,2.6,1.4,1.2,2.6,0,0,0,0.7,0.5,1.2,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,3.5
Alex English,79,3,970,34.2,9.9,9.7,19.6,9.9,9.6,19.5,0,0.1,0.1,4.1,0.8,4.9,2.4,3.1,5.5,4,1,0.7,2.6,2.6,23.9,22
Alex Garcia,75,1,10,15.9,1.9,4,5.9,1.4,2.7,4.1,0.5,1.3,1.8,0.4,0.2,0.6,0.7,0.8,1.5,1.8,0.6,0.1,0.9,1.5,4.7,3.6
Alex Kirk,84,5,5,2.8,0.2,0.6,0.8,0.2,0.6,0.8,0,0,0,0.4,0,0.4,0.2,0,0.2,0.2,0,0,0,0.2,0.8,0.6
Alex Len,85,5,266,19.8,2.7,3,5.7,2.6,3,5.6,0,0.1,0.1,1.6,0.6,2.2,1.9,4.3,6.2,0.7,0.4,1.1,1.3,2.8,6.9,10.3
